Categoria,Tema,Fuente,Encabezado,Texto
falsa,ciencia,la voz popular,eutamatic la primera maquina de suicidio,eutamatic la primera maquina de suicidio eutamatic es el nombre de la primera maquina de suicidio que se ha lanzado al mercado en la historia en tiempos de crisis con el balance de suicidios en auge eutamatic lleva para cumplir una necesidad acorde con estos tiempos todos recordamos la maquina de suicidio de futurama que aparecia ya en el primer capitulo de dicha serie el fabricante tenia un curioso eslogan con la humanidad desde number en realidad han tardado unos pocos anos mas pero ya tenemos con nosotros las primeras maquinas de suicidio un caso mas de que la realidad supera a la ficcion con un creciente paro contaminacion malas noticias violencia en las calles malas peliculas en el cine y en seriesyonkis y el malestar generalizado es normal que una parte de la poblacion tienda a pensar en el suicidio por razones practicas vivir para esto para eso no merece la pena es el pensamiento de muchos suicidas potenciales como funciona esta maquina de suicidio en realidad la eutamatic no es vendida comercialmente como una maquina de suicidio si no como un pack que incluye kit para ultimas palabras sobre number folios decorados una pluma y un sello de cera bombona de number litros de monoxido de carbono mascara inhaladora tubos de conexion bombona mascara conexion wifi para conectar tu smartphone aunque el pack no incluye ningun tipo de instrucciones los pasos a seguir para utilizar con exito la eutamatic son redacatar una bonita carta de despedida con el kit ultimas palabras conectar la bombona a la mascara inhaladora por medio de los tubos incluidos en el pack contectar tu smathphone al minicomputador integrado en la bombona y dejar que se instale la aplicacion eutamatic social broadcasting disponible solo para android y iphone no para usuarios de otros sistemas operativos como windows mobile colocar la mascara sobre la cara y sentarse en un lugar comodo con la puerta abierta por ultimo abrir la llave de la bombona y dejarse llevar tu ultimo tweet automatizado pese a que el modelo basic de eutamatic no cuenta con ningun sensor de signos de vida es capaz de saber cuando se ha agotado el gas contenido en la bombona en ese momento aparece un mensaje de advertencia en el smartphone del usuario advirtiendolo de que su ultimo tweet va a ser enviado a traves de las redes sociales para anunciar que acaba de tener lugar su deceso si el usuario no cancela la accion se procede al envio del ultimo tweet desde todas las redes sociales del usuario el ultimo tweet es personalizable puede incluir fotos excepto en twitter el mensaje por defecto es hasta siempre a mis amigos fue un placer conoceros a mis enemigos que os den pero se recomienda cambiarlo por algo mas personalizado y con alguna mencion la proxima version premium de esta maquina de suicidio incluira un detector de signos de vida number litros extra y un porcentaje de eter en la mezcla de gases asi como la posibilidad de enviar mas de un mensaje en las redes sociales es ilegal esta maquina de suicidio pese a lo que pueda parecer esta maquina de suicidio no es ilegal tampoco vamos a decir que sea legal pero la realidad es que no existe una legislacion que prohiba la venta de estas maquinas de ahi que la eutamatic pese a su nombre tan llamativo no se comercialice directamente como una maquina de suicidio sino como un pack de objetos curiosos el fabricante de desentiende del uso que se pueda dar a su maquina pero apoya el suicidio asi como cualquier tipo de muerte voluntaria ya sabes si no quieres esperar al fin de la crisis eutamatic es tu solucion
verdadera,ciencia,huffpost,en la epica guerra de gatos y perros los caninos tienen la ventaja,en la epica guerra de gatos y perros los caninos tienen la ventaja esto revelo un estudio de la universidad de vanderbilt en eu sobre los cerebros de estos animales la ciencia no miente los perros son mas inteligentes que los gatos despues de contar literalmente cada neurona de sus cerebros un grupo de cientificos encontro que los perros tienen muchas mas que los lindos gatitos los cientificos que despues aceptaron que son amantes de los perros pero ignoraremos esa parte encontraron que aunque los cerebros de los perros no son mas grandes si tienen mas del doble de celulas grises que son el sello de la inteligencia los perros tienen cerca de number millones de neuronas corticales mientras que los gatos tienen cerca de number millones el estudio de la universidad de vanderbilt en estados unidos es el primero que cuenta minuciosamente el numero de neuronas corticas en el cerebro las encargadas de temas relacionados con pensar planear y de comportamientos complejos la profesora suzana herculano houzel quien fue de las pioneras en cuantificar el numero de neuronas en el cerebro dijo yo creo que el numero total de neuronas que un animal tiene determina la riqueza de su estado mental y su habilidad para predecir que esta por pasar a su alrededor a traves de su experiencia esta es la razon por la que tu perro sabe perfectamente que significa que aparezcan maletas en la puerta de tu casa antes de las vacaciones esto tambien significa que tienen la capacidad biologica de hacer cosas mucho mas complejas y flexibles con sus vidas que los gatos a quienes parece que lo unico que les importa es estar metidos en los botes de basura los cientificos tambien observaron los cerebros de uno o dos ejemplares de cada una de las ocho especies carnivoras huron mangosta mapache gato perro hiena leon y oso pardo los resultados de la investigacion revelaron que el cerebro de un golden retriever tiene mas neuronas que una hiena un leon o un oso pardo a pesar de que estos tienen cerebros hasta tres veces mas grandes los cientificos trabajan en la teoria de que los animales domesticados tienen cerebros mas pequenos que sus primos salvajes y que los carnivoros tienen cerebros mas grandes que los herbivoros esto se debe a que los mamiferos carnivoros salvajes necesitan cerebros mas grandes que los herbivoros para cazar pues rastrear presas es exigente cognitivamente hablando y requiere planificacion los hallazgos del estudio tambien cuestionan la opinion prevaleciente de que los animales domesticados tienen cerebros mas pequenos que sus primos salvajes
falsa,ciencia,la voz popular,facebook permanecera cerrado number dias por su fusion con whatsapp,facebook permanecera cerrado number dias por su fusion con whatsapp la red social facebook y el sistema de comunicacion instantanea whatsapp cerraran durante los dias number number y number de febrero debido a la adquisicion de la compania de mensajeria instantanea por parte del gigante de mark zuckerberg facebook necesita sincronizar las funciones de ambas plataformas para hacerlas mas efectivas y acercarlas aun mas al usuario de un smartphone todo apunta a que podremos realizar llamadas gratuitas a traves de whatsapp subir fotos que enviemos en los grupos a nuestro muro o sincronizar las imagenes de perfil y los estados de cada contacto sin embargo la poblacion no esta gozando de las comprension necesaria para este tipo de fusiones y no esta dispuesta a encontrarse number dias sin sus aplicaciones mas utilizadas en la red despues de comprobarlo con la caida de whatsapp en la tarde del sabado durante number horas muchos de ellos se pasaran a telegram o line durante los dias mencionados para evitar que los dias number number y number de febrero se hagan mas largos que nunca el mundo de la tecnologia y la comunicacion pueden vivir una nueva era con la compra de whatsapp por parte de facebook ahora podras ver en facebook a que hora se ha conectado tu amigo dar me gusta en las fotos de whatsapp y un sinfin de nuevas caracteristicas eso si para implantar estas mejoras sera necesario el cierre de ambas plataformas durante number dias si el sabado tuvimos la caida de whatsapp el number de febrero sera mucho peor
falsa,ciencia,abc el recreo,los habitantes de un pueblo rechazan una campo de placas solares por miedo a chupar la energia del sol,los habitantes de un pueblo rechazan una campo de placas solares por miedo a chupar la energia del sol los habitantes de una ciudad en carolina del norte estados unidos votaron en contra de la creacion de una granja de paneles solares entre otros motivos porque temen que absorba la energia del sol y provoque cancer el frigorifico inspirado en animales que funciona sin energia electrica la ciudad de woodland situada en el estado de carolina del norte ha logrado parar los planes de creacion de una granja de paneles y una de las razones que alegaron sus habitantes fue el miedo a que chupase la energia del sol los concejales votaron en contra del proyecto que haria posible construir una planta de la compania strata solar cerca de la autopista norte de la localidad segun informa news herald com incluso fueron mas alla y apoyaron una moratoria para la instalacion de futuros paneles despues de que los habitantes dejaran muy clara su oposicion jean mann una antigua profesora de ciencias explico en el pleno que los paneles evitaban la fotosintesis e impedian que las plantas creciesen segun mann en zonas cercanas a paneles habia visto que las plantas estaban marrones y muertas por la falta de luz solar la compania strata solar nego todas estas alegaciones no absorben energia extra indico un representante de la compania mann tambien hizo hincapie en el numero de muertes causadas por cancer en la zona indicando que no habia ninguna evidencia de que no estuvieran causadas por los paneles solares vais a matar nuestra ciudad comento otro de los asistentes toda la gente joven se va a ir sin embargo el hecho de que la ciudad no se beneficiase economicamente porque los paneles estarian situados fuera de los limites del municipio solo en secciones extraterritoriales fue el principal motivo asi la ciudad solo recibiria aproximadamente number dolares por ano para el departamento de bomberos en el caso de que hubiera algun accidente en la planta
verdadera,ciencia,bbc,la tierra ha sufrido mas megaterremotos de lo que sabiamos,la tierra ha sufrido mas megaterremotos de lo que sabiamos image caption el terremoto de chile de number fue de number grados en la escala de richter la mayor magnitud jamas registrada la tierra puede haber sufrido un mayor numero de grandes terremotos que los que se tienen en el registro historico una investigacion sugiere que no hay documentacion de la mitad de todos los terremotos de una magnitud mayor a los number grados en la escala de richter que ocurrieron en el siglo xix por ello los cientificos estan revisando y analizando documentos historicos en busca de los temblores perdidos los hallazgos de este trabajo se presentaron en la conferencia de la union de geofisica de estados unidos agu por sus siglas en ingles la mayor reunion anual de expertos en ciencias de la tierra que se celebra esta semana san francisco en terminos de estadistica hay demasiado pocos terremotos en el siglo xix dijo susan hough del servicio geologico de ee uu usgs por sus siglas en ingles los sismos de mas de number grados causan inmensa devastacion los ejemplos recientes incluyen el temblor de number en el oceano indico que desato un tsunami mortifero el poderoso terremoto de chile en number y el de japon en number pero curiosamente los desastres naturales de escala semejante no figuran en los registros anteriores al siglo xx advertencias de la historia image caption los cientificos dicen que enormes terremotos como el que golpeo a japon en number fueron registrados con menos frecuencia antes de number los sismometros se desarrollaron alrededor del number tan pronto como los tuvimos los terremotos comenzaron a parecer mas grandes explico hough los investigadores utilizan documentos historicos para rastrear eventos sismicos ocurridos previamente y evaluar su magnitud hough cree que muchos enormes terremotos se han perdido en los siglos xviii y xix una de las razones es que existe la suposicion generalizada de que los sismos de mas de number grados generan tsunamis significativos pero no siempre es el caso y las magnitudes de algunos de estos terremotos han sido subestimadas dijo hough uno de estos sospechosos es un temblor que sacudio la peninsula de kamchatka en rusia en number se habia estimado que su magnitud fue de number grados en la escala de richter pero hough sostiene que deberia ascender a number grados otro de los sismos subestimados es uno que golpeo las islas antillas menores en number este fue catalogado con una magnitud de number grados pero fue percibido en una cuarta parte del globo expreso hough image caption el terremoto de haiti en number causo la muerte de mas de number personas los investigadores dicen que encontrar estos terremotos perdidos es vital para entender cuando pueden volver a ocurrir catastrofes de esa escala en otro trabajo de investigacion presentado en la reunion de la agu los cientificos sostienen que han creado una base de datos de terremotos ocurridos entre los anos number y number para hacerlo y al igual que sus colegas de la usgs el equipo de investigadores ha estado examinando documentos historicos para catalogar los sismos segun roger musson del servicio geologico de reino unido esta base de datos ofrece una advertencia de la historia por ejemplo con el desastre de fukushima la gente se sorprendio por el enorme tsunami le dijo musson a la bbc pero no deberia sorprender el hecho de que alli sucediera un terremoto hubo un sismo muy similar en el siglo xix agrego musson
verdadera,ciencia,cnn en espanol,creo un sismo artificial la celebracion del gol de mexico frente a alemania,creo un sismo artificial la celebracion del gol de mexico frente a alemania un tuit que describia un terremoto artificial en la ciudad de mexico despues de que mexico anotara lo que seria el gol ganador del partido en la copa del mundo contra alemania se volvio viral el domingo pero ni el servicio geologico de los ee uu ni el servicio geologico nacional de mexico informaron de un sismo en la ciudad de mexico ese dia entonces que paso celebro mexico tan fuerte que causo un sismo artificial el evento no fue lo suficientemente grande como para medirse en magnitudes y no habria sido perceptible para la poblacion en general de acuerdo con el instituto de investigaciones geologicas y atmosfericas que no es una agencia del gobierno el domingo el instituto tuiteo lecturas sismograficas que destacaban la actividad cuando los mexicanos celebraron el que seria el gol decisivo del delantero hirving lozano atribuyo la causa posiblemente a saltos masivos de celebracion en una publicacion que obtuvo mas de number retuits al menos dos de sus sensores dentro de la ciudad de mexico detectaron un movimiento sismico durante el partido de la copa mundial probablemente producido por la celebracion masiva segun la publicacion del blog del instituto dijo que tales eventos no son muy grandes solo los equipos sismograficos sensibles y generalmente cercanos pueden detectar los efectos de las multitudes entonces los instrumentos mas cercanos por lo tanto solo un muy pequeno numero de sismografos pueden medir el evento que el instituto describio como microregistros la publicacion del blog tambien senalo que un evento similar ocurrio durante un juego de la nfl number cuando una anotacion de marshawn lynch provoco que los fanaticos de seattle seahawks estallaran en celebracion y eso causo que un sismometro cercano midiera las vibraciones en lo que se llamo quaast de la bestia los fanaticos de seattle volvieron a sacudir las cosas en number registrandose en una estacion de grabacion sismologica cerca del estadio de los seahawks durante una victoria sobre los new orleans saints sismo o no el entusiasmo en mexico se sintio por todos lados el domingo cuando los fanaticos se deleitaban con el malestar general sobre alemania
falsa,ciencia,el dizque,apple anuncia el lanzamiento del iphone desechable,apple anuncia el lanzamiento del iphone desechable una vez consumada la desincorporacion de micropple apple anuncio el dia de hoy el lanzamiento del iphone number el cual sera el primer smartphone desechable de toda la historia de acuerdo a los ejecutivos de esta empresa el iphone number esta pensado en los consumidores que tienen una compulsion muy fuerte por adquirir aparatos apple lo mas frecuentemente posible esta nueva version no requiere de planes tarjetas de prepago cargadores u otro tipo de accesorio pues cada uno de ellos viene con pila y credito para tres horas de uso ilimitado tras de lo cual podra ser tirado en cualquier bote de basura teniendo libertad para adquirir el siguiente el usuario tiene la posibilidad de mantener el mismo numero cada vez que adquiera uno nuevo aunque tendra que descargar las aplicaciones nuevamente porque sabemos que eso les encanta a los usuarios afirmo un vocero el nuevo aparato costara number dolares y se espera para mediados del proximo ano el iphone number que costara un dolar con cincuenta centavos aunque solo durara number minutos para los usuarios el poder comprar un dispositivo nuevo cada media hora es su sueno dorado y el iphone desechable hara ese sueno realidad
falsa,ciencia,el ruinaversal,crean maquina que puede pasar en un number el dolor del parto al padre,crean maquina que puede pasar en un number el dolor del parto al padre alemania un grupo de ingenieros y medicos alemanes presento a los medios la primer maquina que puede pasar el dolor del parto de la madre el aparato cuenta con tecnologia de punta que transfiere al hombre hasta en un number la sensacion a la hora de dar a luz simplemente se debe conectar a la pareja un cable de microfibras electricas que se encuentra enlazado al aparato que regula los sensores de dolor para elegir que porcentaje de sensacion se quiere transferir al varon ya probamos el aparato en number familias a number hombres les pasamos un number de dolor fue curioso porque las madres aguantaron aproximadamente number minutos de terribles contracciones sin desfallecer en cambio cuando le pasamos la sensacion a los padres inmediatamente se desmayaron afortunadamente ya estan bien dijo un medico el medico tambien revelo que los otros number hombres a quienes les pasaron el number del dolor no corrieron con la misma suerte lamentablemente estos varones se encuentran en estado de coma intensivo porque no soportaron la sensacion el dolor fue tan grande que no sabemos si despertaran confeso gracias a este experimento los medicos ahora saben que los hombres son mas sensibles por lo que estara prohibido pasarles mas de un number de la sensacion del parto simplemente no aguantan revelo una doctora las madres se han mostrado muy contentas por poder compartir ese dolor con los padres y estos aunque admiten que es insoportable aseguran que es mucho mejor a soportar la tipica frase de tu no eres el que tuvo que parir al bebe verdad
falsa,ciencia,el dizque,el imss entra a la modernidad con la iniciativa de guarderias virtuales,el imss entra a la modernidad con la iniciativa de guarderias virtuales mikel arriola director general del instituto mexicano del seguro social imss convoco a los medios para anunciar la iniciativa de guarderias virtuales en las que no sera necesario que los padres lleven a sus hijos a ningun lugar sino que seran cuidados a distancia al derechohabiente se le da una camara web unos lentes de realidad virtual una tableta y un sistema dosificador de leche que se encargara de proporcionarle la mamila al pequeno segun sea necesario el pequeno es monitoreado a distancia desde nuestras instalaciones y al tiempo que nos aseguramos que se encuentra bien en los lentes de realidad virtual se le transmitiran maratones de videos de la vaca lola y el pollito pio para mantenerlo tranquilo senalo arriola el sistema estara conectado a la clinica del imss mas cercana al domicilio asi al detectarse cualquier anomalia podran ser despachados medicos en motocicleta en una emergencia el pequeno podria ser llevado al hospital sin necesidad de interrumpir a los padres en ningun momento anadio el tambien precandidato del pri al gobierno de la ciudad de mexico si bien hubo algunos reclamos sobre si eso promueve una dependencia de los pequenos a los aparatos electronicos arriola solo de alzo de hombros de una forma u otra el nino va a terminar siendo dependiente de los aparatos electronicos y al facebook no nos hagamos tarugos las primeras guarderias virtuales las manejara el imss pero tambien habra subrogadas
falsa,ciencia,hay noticia,lanzan al mercado un collar antiparasitario para ninos,lanzan al mercado un collar antiparasitario para ninos la empresa advance fabricante de comida y articulos para mascotas ha anunciado que la semana que viene lanzara al mercado un collar antiparasitario de uso para ninos la empresa responde asi a una fuerte demanda que hasta el momento nadie ha satisfecho los problemas de los ninos con las liendres podrian verse por fin solucionados con el collar antiparasitos de advance segun las primeras informaciones el articulo actuara contra los piojos las pulgas y las garrapatas ademas los ninos podran ducharse con el por lo que la comodidad esta asegurada ademas de no ser toxico para humanos el presidente del colegio de farmaceuticos ha acogido la idea con gran entusiasmo en los colegios el problema se agudiza pues los piojos pasan de unos ninos a otros ademas tiene una anilla de metal adosada por si algun padre o madre quiere llevar al crio atado por la calle para que no se pierda por su parte la asociacion espanola de madres y padres de alumnos se ha mostrado cauta y ha expresado que la solucion puede ser buena pero habra que esperar a comprobar su eficacia
falsa,ciencia,el dizque,cientificos del cch vallejo elaboran teoria sobre stephen hawking,cientificos del cch vallejo elaboran teoria sobre stephen hawking triste la noticia de que el fisico stephen hawking habia dejado este mundo a la edad de number anos la mente mas brillante de los ultimos tiempos dejo el plano terrenal para comprobar por si mismo si dios existe o no la comunidad cientifica se ha unido a la pena que embarga una perdida como la del profesor hawking quien fue un dedicado estudioso del tiempo del espacio destacando sus teorias sobre los agujeros negros alumnos del cch plantel vallejo han informado que de acuerdo a sus calculos el doctor stephen hawking no murio sino que esta atrapado en un agujero negro que se formo como resultado de la conexion de particulas subatomicas que fueron expulsadas al estallar una estrella en la nebulosa de andromeda segun las leyes de la fisica cuantica las particulas subatomicas se pueden relacionar entre ellas a distancia de manera instantanea o a velocidades superiores a la de la luz de hecho existen modelos que explican esta relacion a partir de senales que se propagan a velocidades supraluminicas el profesor hawking se encontraba justo en el espacio interdimensional que cubrio dicha explosion que no pudo ser en ningun momento observada por el ojo humano pero si con los instrumentos de medicion que se tienen en ese h plantel del colegio de ciencias y humanidades dicen los investigadores que el proceso que vivio hawking al momento de ser absorbido por ese agujero negro fue como caer en un sueno muy profundo ya se ha iniciado la colecta correspondiente afuera del plantel en cuestion para que puedan crear un acelerador de particulas que detecte la energia de hawking para que una vez que coincidan las magnitudes de masa y energia en ambas dimensiones y las particulas que conforman su cerebro esten a la aceleracion correcta puedan traer de vuelta a uno de los cientificos mas afamados de nuestros tiempos esperan que el boteo del teleton no les impida reunir la cantidad que necesitan para construir dicho acelerador de particulas que seria el primero en la historia de la humanidad y orgullosamente construido y disenado por mexicanos mientras tanto descanse en paz stephen hawking
verdadera,ciencia,bbc news,como seria el mundo si la tierra fuera realmente plana segun la ciencia,como seria el mundo si la tierra fuera realmente plana segun la ciencia la tierra es redonda o plana puede que para muchos la pregunta sea ridicula y la respuesta obvia o tal vez no la teoria de que la tierra es plana ha ido ganando adeptos en los ultimos anos con la primera conferencia de terraplanistas celebrada a fines del pasado ano en estados unidos hay incluso celebridades de hollywood y de la nba que la defienden a pesar de que hay muchas mas pruebas tanto graficas como fisicas de que la tierra es redonda el debate aparece y reaparece de forma intermitente por eso dispuesto acabar con las especulaciones un geofisico de la universidad de columbia y miembro del observatorio terrestre lamont doherty en el estado de nueva york ha querido dibujar el escenario de una tierra plana tomando como ciertos los supuestos de los terraplanistas para ello james davis recorre los fenomenos fisicos cientificos y naturales que conocemos hoy number la gravedad la gente que cree que la tierra tiene forma de disco asume que la gravedad ejerceria su fuerza directamente hacia abajo pero no es asi como funciona este fenomeno davis aclara que se ha probado en numerosas ocasiones que la fuerza gravitatoria empuja hacia el centro por tanto con una tierra plana el agua seria atraida hacia el centro del disco con oceanos aspirados hacia adentro los arboles que crecen en direccion opuesta al centro gravitatorio serian diagonales caminar tambien se haria una tarea complicada con una fuerza que nos empuja hacia el centro cuando intentamos alcanzar los bordes del disco seria como recorrer una cuesta muy empinada number el sistema solar el modelo del sistema solar que prevalece hoy situa al sol en el centro y a la tierra circulando alrededor de el gracias a una orbita que nos mantiene mas cerca y mas lejos de la gran estrella segun la epoca del ano los terraplanistas situan a la tierra en el centro del universo donde el sol opera como una lampara que irradia luz y calor de un lado a otro del planeta pero no hablan de una orbita davis cree que sin esta orbita ni la fuerza gravitatoria del sol nada impediria que saliesemos disparados del sistema solar una tierra plana destaparia otra incongruencia si el sol y la luna simplemente van de un lado a otro es posible que haya dias y noches pero eso no explicarian las estaciones los eclipses y otro tipo de fenomenos astronomicos ademas el sol tendria que ser mas pequeno que la tierra de lo contrario podria quemarnos o podria caerse sobre nosotros o sobre la luna davis recuerda que hay mediciones suficientes que prueban que el sol tiene number veces el diametro de la tierra number campo magnetico las leyes de la fisica que conocemos hoy en dia sostienen que el nucleo de la tierra genera su campo magnetico derechos de autor de la imagen getty images image caption las hermosas auroras boreales se producen cuando el viento solar choca con el campo magnetico de la tierra en un planeta plano segun los defensores de este modelo este campo no existe siendo asi dice el experto geofisico no podria haber una atmosfera que encerrase el aire y los mares que escaparian al espacio es lo que ocurrio con marte recuerda que perdio su campo magnetico y con el sus condiciones habitables number actividad tectonica el movimiento de las placas tectonicas y la de los movimientos sismicos se explican solo con una tierra redonda solo en una esfera encajan todas las placas de manera sensata afirma davis los movimientos de las placas en un lado de la tierra afectan los movimientos en el otro las areas de la tierra que crean corteza como la cordillera de los andes se contrarrestan con los lugares que consumen corteza como las zonas de succion con grandes valles y fosas en una tierra plana nada de esto podria explicarse adecuadamente no podria entenderse por que existen montanas cordilleras o terremotos tambien tendria que haber una explicacion de lo que sucede con las placas en el borde del mundo uno podria imaginarse que pueden caerse pero los terraplanistas ya han establecido que existe un muro de hielo en el borde creado por la antartica algo muy dificil de creer opina davis para concluir desde el observatorio terrestre lamont doherty aseguran que si viviesemos en una tierra plana no tendriamos ninguna duda porque todo seria radicalmente distinto a lo que conocemos hoy si fuese posible
falsa,ciencia,el dizque,por mantenimiento general el internet dejara de funcionar durante el proximo fin de semana,por mantenimiento general el internet dejara de funcionar durante el proximo fin de semana debido a la gran cantidad de usuarios que en semanas recientes han comenzado a utilizar el internet asi como a la abundancia de informacion sin usar que se ha acumulado en la red la omce organizacion mundial de comunicacion electronica anuncio que este fin de semana es decir viernes sabado y domingo se deshabilitara todo internet para asi poder realizar un mantenimiento general con caracter preventivo la omce aseguro que despues de ello internet correra mucho mas rapido y la localizacion de datos sera mucho mas eficaz pero en que consistiran las labores de mantenimiento le preguntamos al ingeniero al goritmo teravatio asesor de la omce dado que entre otras cosas se piensa eliminar el material superfluo de la web cualquier correo electronico que no haya usado en mas de dos semanas blogs sin actualizaciones en ese tiempo o redes sociales en las que no haya habido movimiento seran borradas de los sistemas aseguro el ingeniero goritmo del mismo modo se daran de baja las paginas con menos de number visitas en una semana el ingeniero goritmo sugirio que cualquier persona que quiera conservar los sitios que esten en esta situacion debe darle movimiento en estos dias para estar libres de peligro pues una vez se purgue la red no habra forma de recuperar la informacion por lo pronto muchos consultorios psicologicos y hospitales psiquiatricos se han puesto en alerta amarilla roja a partir del viernes para cualquier problema que llegue a presentarse en esos dos dias lineas telefonicas anti suicidios trabajaran horas extra en todo el mundo pues se teme que algunas personas puedan tomar medidas drasticas ante el hecho de no tener internet durante tres dias
verdadera,ciencia,el universal,ahora si facebook te cobrara por usar su servicio,ahora si facebook te cobrara por usar su servicio su servicio de grupos de suscripcion cobraran una membresia de entre number y number pesos los primeros grupos que empezaran a cobrar son limpieza del hogar tips para papas y tips de cocina la plataforma facebook pondra a prueba una nueva modalidad en la cual se le cobrara a las personas para que puedan formar parte de ciertos grupos por medio de un comunicado la plataforma presento un modelo de suscripciones para los grupos que le permitira a los administradores cobrar por las membresias la idea no es de facebook sino de los administradores de grupos quienes se han pedido a la red social anteriromente que integre esta funcion escuchamos a los administradores de los grupos que estan buscando formas de ganar dinero para profundizar el compromiso con sus miembros y continuar apoyando a sus comunidades indico alex deve director del area de grupos de facebook facebook advirtio que los precios por tener una membresia en algunos grupos pueden costar entre number y number pesos por ahora se trata de un plan piloto que se aplicara a grupos especificos los primeros grupos que empezaran a cobrar son limpieza del hogar tips para papas y tips de cocina asimismo conforme adquieran la nueva herramienta los grupos ofreceran a los usuarios la posibilidad de ser un miembro premium a traves del pago mensual grupos de suscripcion es una forma de monetizar la plataforma al mismo tiempo que brinda una remuneracion a los creadores ya que el objetivo es que los usuarios paguen por un contenido especifico que les agrade por ello si creas un nuevo grupo de facebook es posible que puedas cobrar una tarifa de suscripcion en algun momento en el futuro ya que la funcion todavia no esta habilitada
verdadera,ciencia,excelsior,publican la ultima teoria de stephen hawking,publican la ultima teoria de stephen hawking plantea que a partir del big bang el cosmos se formo como un vasto y complejo holograma de modo que pueden existir otros universos muy similares al nuestro hawking elaboro esta teoria cosmologica durante veinte anos con su colega thomas hertog del instituto de fisica teorica de lovaina londres la ultima teoria cientifica sobre el origen del universo desarrollada por el fisico britanico stephen hawking antes de morir el pasado number de marzo ha sido publicada hoy en la revista journal of high energy physics del reino unido hawking fallecido a los number anos elaboro esta teoria cosmologica durante veinte anos con su colega thomas hertog del instituto de fisica teorica de lovaina belgica y ambos la presentaron a la publicacion para su revision diez dias antes de que el primero falleciera la nueva teoria plantea que a partir del big bang el momento de formacion del cosmos el universo se formo como un vasto y complejo holograma de modo que pueden existir otros universos muy similares al nuestro los dos cientificos ofrecen ademas pautas matematicas para que los astronomos puedan buscar pruebas sobre la existencia de estos posibles universos paralelos propone que todos los universos existentes comparten las mismas leyes de la fisica lo que implica que lo que se averigue sobre este universo puede aplicarse a otros la teoria publicada hoy matiza una hipotesis anterior propiciada por los estudios del propio hawking que decia que a partir del big bang el universo se expandio a partir de un punto minusculo en un proceso conocido como inflacion creando infinitos universos o mutiversos que podian ser muy distintos al nuestro esta formulacion derivada de las investigaciones de hawking con su colega estadunidense james hartle en la decada de number planteaba el problema de que si existen infinitos universos con infinitas variaciones en sus leyes fisicas no hay manera de predecir en que universo nos encontramos el propio hawking expreso en una entrevista en number que nunca habia sido un fan de la idea del multiverso no estamos reducidos a un unico universo pero nuestros hallazgos implican una reduccion considerable del multiverso hasta un abanico mucho mas pequeno de universos posibles declaro el profesor antes de su muerte hertog ha senalado hoy a la bbc que ni el ni su colega estaban contentos con la idea de una infinidad de universos impredecibles sugiere que el multiverso surgio arbitrariamente y que no hay mucho mas que decir afirmo las investigaciones de ambos se basan en nuevas tecnicas matematicas desarrolladas para investigar una rama de la fisica conocida como teoria de las cuerdas la idea de que las particulas materiales en apariencia puntuales son en realidad estados vibracionales de un objeto extendido mas basico llamado cuerda hawking murio el number de marzo en cambridge inglaterra tras haber sufrido desde number una enfermedad neurodegenerativa que le dejo inmovil y le obligaba a comunicarse a traves de un sintetizador de voz ademas de sus investigaciones sobre la expansion del universo y los agujeros negros el cosmologo adquirio fama por sus libros de divulgacion cientifica entre ellos a brief history of time una breve historia del tiempo
falsa,ciencia,la red 21,alemania reconoce usar chemtrails para alterar el clima y argentina,alemania reconoce usar chemtrails para alterar el clima y argentina cierra foro la principal cadena de television privada alemana rtl aseguro que el ejercito esta manipulando el clima del pais a traves de chemtrails estelas quimicas visibles en el cielo aviones militares del ejercito federal aleman estan manipulando nuestro clima estos es lo que los investigadores y expertos del clima presumen y sus sospechas se han visto confirmadas podemos decir con un fiabilidad del number que lo que tenemos entre manos son estelas quimicas chemtrails comprimidas por finas particulas que contienen polimeros y metales empleados para distraer y despistar las senales de radar explico en un informe la mayor cadena internacional de tv privada germana el informe consulto fuentes militares que reconocieron las pruebas pero aseguran que son solo pequenas cantidades de material las que se han propagado los responsables del ejercito aseguran que las sustancias empleadas no son daninas senalaron el dirigente del partido verde aleman johannes remmel dijo que existe profunda preocupacion por estas misiones militares y aseguro que comenzaran una investigacion al maximo nivel preocupa en argentina cierre de blog que estudiaba el mismo tema mientras tanto el tema era tambien seguido de cerca por un grupo de ecologistas que habian formalizado denuncias por los chemtrails en los cielos argentinos por razones totalmente desconocidas sin embargo el blog de chemtrailsbaires url fue obligado a cerrar is no longer avaiable es la unica razon que arroja la busqueda mientras fuentes del blog dijeron a taringa net que habian sido cerrados contra su voluntad las chemtrails continuan siendo debatidas a nivel internacional en tanto mientras desde las colectividades cientificas oficiales se afirma que las estelas de condensacion que dejan los aviones son inocuas cada vez mas grupos ecologistas afirman que en realidad tienen componentes quimicos destinados a alterar el clima mediante el sembrado de nubes y tecnicas similares
